date,description,amount,category
2023-01-01,Salary,1500.00,Income
2023-01-05,Groceries,-50.00,Food
2023-01-10,Rent,-800.00,Housing
2023-01-15,Eating Out,-30.00,Food
2023-01-20,Utilities,-100.00,Bills
2023-01-25,Gas,-40.00,Transportation
2023-01-30,Freelance Payment,300.00,Income
2023-02-01,Salary,1500.00,Income
2023-02-05,Coffee,-5.00,Food
2023-02-10,Movie Tickets,-20.00,Entertainment
2023-02-15,Groceries,-60.00,Food
2023-02-20,Rent,-800.00,Housing
2023-02-25,Internet Bill,-50.00,Bills
2023-03-01,Salary,1500.00,Income
2023-03-05,Lunch,-15.00,Food
2023-03-10,Gym Membership,-30.00,Health
2023-03-15,Groceries,-55.00,Food
2023-03-20,Utilities,-110.00,Bills
2023-03-25,Bonus,500.00,Income
2023-03-30,Shopping,-200.00,Clothing
2023-04-01,Salary,1500.00,Income
2023-04-05,Eating Out,-25.00,Food
2023-04-10,Rent,-800.00,Housing
2023-04-15,Gas,-45.00,Transportation
2023-04-20,Phone Bill,-60.00,Bills
2023-04-25,Freelance,400.00,Income
2023-04-30,Groceries,-70.00,Food
2023-05-01,Salary,1500.00,Income
2023-05-05,Coffee,-6.00,Food
2023-05-10,Movie,-18.00,Entertainment
2023-05-15,Utilities,-105.00,Bills
2023-05-20,Groceries,-65.00,Food
2023-05-25,Rent,-800.00,Housing
2023-05-30,Gym,-30.00,Health
2023-06-01,Salary,1500.00,Income
2023-06-05,Lunch,-12.00,Food
2023-06-10,Shopping,-150.00,Clothing
2023-06-15,Gas,-50.00,Transportation
2023-06-20,Internet,-50.00,Bills
2023-06-25,Bonus,600.00,Income
2023-06-30,Eating Out,-35.00,Food
2023-07-01,Salary,1500.00,Income
2023-07-05,Groceries,-75.00,Food
2023-07-10,Rent,-800.00,Housing
2023-07-15,Coffee,-7.00,Food
2023-07-20,Utilities,-115.00,Bills
2023-07-25,Movie,-22.00,Entertainment
2023-07-30,Freelance,350.00,Income
2023-08-01,Salary,1500.00,Income
2023-08-05,Lunch,-14.00,Food
2023-08-10,Gym,-30.00,Health
2023-08-15,Groceries,-80.00,Food
2023-08-20,Phone Bill,-65.00,Bills
2023-08-25,Shopping,-180.00,Clothing
2023-08-30,Gas,-55.00,Transportation
2023-09-01,Salary,1500.00,Income
2023-09-05,Eating Out,-28.00,Food
2023-09-10,Rent,-800.00,Housing
2023-09-15,Internet,-55.00,Bills
2023-09-20,Coffee,-8.00,Food
2023-09-25,Bonus,700.00,Income
2023-09-30,Movie,-25.00,Entertainment
2023-10-01,Salary,1500.00,Income
2023-10-05,Groceries,-85.00,Food
2023-10-10,Utilities,-120.00,Bills
2023-10-15,Lunch,-16.00,Food
2023-10-20,Gym,-30.00,Health
2023-10-25,Shopping,-220.00,Clothing
2023-10-30,Gas,-60.00,Transportation
2023-11-01,Salary,1500.00,Income
2023-11-05,Eating Out,-32.00,Food
2023-11-10,Rent,-800.00,Housing
2023-11-15,Phone Bill,-70.00,Bills
2023-11-20,Coffee,-9.00,Food
2023-11-25,Freelance,450.00,Income
2023-11-30,Movie,-28.00,Entertainment
2023-12-01,Salary,1500.00,Income
2023-12-05,Groceries,-90.00,Food
2023-12-10,Utilities,-125.00,Bills
2023-12-15,Lunch,-18.00,Food
2023-12-20,Internet,-60.00,Bills
2023-12-25,Holiday Gift,-100.00,Misc
2023-12-30,Bonus,800.00,Income
2024-01-01,Salary,1550.00,Income
2024-01-05,Groceries,-55.00,Food
2024-01-10,Rent,-850.00,Housing
2024-01-15,Eating Out,-35.00,Food
2024-01-20,Utilities,-110.00,Bills
2024-01-25,Gas,-45.00,Transportation
2024-01-30,Freelance,500.00,Income
2024-02-01,Salary,1550.00,Income
2024-02-05,Coffee,-10.00,Food
2024-02-10,Movie Tickets,-30.00,Entertainment
2024-02-15,Groceries,-70.00,Food
2024-02-20,Rent,-850.00,Housing
2024-02-25,Internet Bill,-65.00,Bills
2024-03-01,Salary,1550.00,Income
2024-03-05,Lunch,-20.00,Food
2024-03-10,Gym Membership,-35.00,Health
2024-03-15,Groceries,-75.00,Food
2024-03-20,Utilities,-120.00,Bills
2024-03-25,Bonus,900.00,Income
2024-03-30,Shopping,-250.00,Clothing
